id,name,source,page,rarity,type,attunement,damage,properties,mastery,weight,value,text
#0001,+1 All-Purpose Tool,TCE,119,uncommon,"Wondrous Item, Spellcasting Focus",requires attunement by an artificer,,,,,,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +1 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
#0002,+1 Ammunition,DMG'24,228,uncommon,"Ammunition, Generic Variant",,,,,,,"You have a +1 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (200 GP). Base items. This item variant can be applied to the following base items:Arrow (+1 Arrow)Bolt (+1 Bolt)Energy Cell (+1 Energy Cell)Firearm Bullet (+1 Firearm Bullet)Needle (+1 Needle)Sling Bullet (+1 Sling Bullet)"
#0003,+1 Amulet of the Devout,TCE,119,uncommon,Wondrous Item,requires attunement by a cleric or paladin,,,,1,,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +1 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
#0004,+1 Arcane Grimoire,TCE,120,uncommon,"Wondrous Item, Spellcasting Focus",requires attunement by a wizard,,,,3,,"While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
#0005,+1 Armor,DMG'24,230,rare,Generic Variant,,,,,,,You have a +1 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+1 Breastplate)Chain Mail (+1 Chain Mail)Chain Shirt (+1 Chain Shirt)Half Plate Armor (+1 Half Plate Armor)Hide Armor (+1 Hide Armor)Leather Armor (+1 Leather Armor)Padded Armor (+1 Padded Armor)Plate Armor (+1 Plate Armor)Ring Mail (+1 Ring Mail)Scale Mail (+1 Scale Mail)Splint Armor (+1 Splint Armor)Studded Leather Armor (+1 Studded Leather Armor)
#0006,+1 Bloodwell Vial,TCE,122,uncommon,"Wondrous Item, Spellcasting Focus",requires attunement by a sorcerer,,,,,,"To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells.In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
#0007,+1 Dragonhide Belt,FTD,23,uncommon,Wondrous Item,requires attunement by a monk,,,,,,"This finely detailed belt is made of dragonhide. While wearing it, you gain a +1 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn."
#0008,+1 Fate Dealer's Deck,BMT,61,rare,Wondrous Item,requires attunement by a cleric or paladin,,,,,,"The backs of these cards are inscribed with glyphs representing the Inner Planes, the Outer Planes, or the holy symbols of various deities. While holding this deck, you can use it as a spellcasting focus, and you gain a +1 bonus to spell attack rolls and to your spell save DC.In addition, while you're holding the deck, you can draw a card as an action to expend and roll one of your Hit Dice and add the deck's bonus to the number rolled. One creature you can see within 30 feet of you either takes radiant damage or regains hit points (your choice) equal to the total."
#0009,+1 Moon Sickle,TCE,133,uncommon,"Weapon (Sickle), Simple Weapon, Melee Weapon",requires attunement by a druid or ranger,1d4 Slashing,light,,2,,"This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +1 bonus to attack and damage rolls made with it, and you gain a +1 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
#0010,+1 Rhythm-Maker's Drum,TCE,134,uncommon,"Wondrous Item, Instrument (Drum)",requires attunement by a bard,,,,3,,"While holding this drum, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
#0011,+1 Rod of the Pact Keeper,DMG'24,301,uncommon,Rod,requires attunement by a warlock,,,,2,,"While holding this rod, you gain a +1 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
#0012,+1 Shield (*),DMG'24,303,uncommon,Generic Variant,,,,,,,"* This generic variant has the same name and source as the item +1 Shield.While holding this Shield, you have a +1 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+1 Shield)"
#0013,+1 Wand of the War Mage,DMG'24,322,uncommon,Wand,requires attunement by a spellcaster,,,,1,,"While holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
#0014,+1 Weapon,DMG'24,324,uncommon,Generic Variant,,,,,,,You have a +1 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+1 Antimatter Rifle)Automatic Rifle (+1 Automatic Rifle)Battleaxe (+1 Battleaxe)Blowgun (+1 Blowgun)Club (+1 Club)Dagger (+1 Dagger)Dart (+1 Dart)Double-Bladed Scimitar (+1 Double-Bladed Scimitar)Flail (+1 Flail)Glaive (+1 Glaive)Greataxe (+1 Greataxe)Greatclub (+1 Greatclub)Greatsword (+1 Greatsword)Halberd (+1 Halberd)Hand Crossbow (+1 Hand Crossbow)Handaxe (+1 Handaxe)Heavy Crossbow (+1 Heavy Crossbow)Hooked Shortspear (+1 Hooked Shortspear)Hoopak (+1 Hoopak)Hunting Rifle (+1 Hunting Rifle)Javelin (+1 Javelin)Lance (+1 Lance)Laser Pistol (+1 Laser Pistol)Laser Rifle (+1 Laser Rifle)Light Crossbow (+1 Light Crossbow)Light Hammer (+1 Light Hammer)Light Repeating Crossbow (+1 Light Repeating Crossbow)Longbow (+1 Longbow)Longsword (+1 Longsword)Mace (+1 Mace)Maul (+1 Maul)Morningstar (+1 Morningstar)Musket (+1 Musket)Pike (+1 Pike)Pistol (+1 Pistol)Quarterstaff (+1 Quarterstaff)Rapier (+1 Rapier)Revolver (+1 Revolver)Scimitar (+1 Scimitar)Semiautomatic Pistol (+1 Semiautomatic Pistol)Shortbow (+1 Shortbow)Shortsword (+1 Shortsword)Shotgun (+1 Shotgun)Sickle (+1 Sickle)Sling (+1 Sling)Spear (+1 Spear)Trident (+1 Trident)War Pick (+1 War Pick)Warhammer (+1 Warhammer)Whip (+1 Whip)Yklwa (+1 Yklwa)
#0015,+1 Weapon (no damage),DMG'14,213,uncommon,Generic Variant,,,,,,,You have a +1 bonus to attack rolls made with this weapon.
#0016,+1 Wraps of Unarmed Power,DMG'24,325,uncommon,Wondrous Item,,,,,,,"While wearing these wraps, you have a +1 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
#0017,+2 All-Purpose Tool,TCE,119,rare,"Wondrous Item, Spellcasting Focus",requires attunement by an artificer,,,,,,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +2 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
#0018,+2 Ammunition,DMG'24,228,rare,"Ammunition, Generic Variant",,,,,,,"You have a +2 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (2,000 GP). Base items. This item variant can be applied to the following base items:Arrow (+2 Arrow)Bolt (+2 Bolt)Energy Cell (+2 Energy Cell)Firearm Bullet (+2 Firearm Bullet)Needle (+2 Needle)Sling Bullet (+2 Sling Bullet)"
#0019,+2 Amulet of the Devout,TCE,119,rare,Wondrous Item,requires attunement by a cleric or paladin,,,,1,,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +2 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
#0020,+2 Arcane Grimoire,TCE,120,rare,"Wondrous Item, Spellcasting Focus",requires attunement by a wizard,,,,3,,"While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
#0021,+2 Armor,DMG'24,230,very rare,Generic Variant,,,,,,,You have a +2 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+2 Breastplate)Chain Mail (+2 Chain Mail)Chain Shirt (+2 Chain Shirt)Half Plate Armor (+2 Half Plate Armor)Hide Armor (+2 Hide Armor)Leather Armor (+2 Leather Armor)Padded Armor (+2 Padded Armor)Plate Armor (+2 Plate Armor)Ring Mail (+2 Ring Mail)Scale Mail (+2 Scale Mail)Splint Armor (+2 Splint Armor)Studded Leather Armor (+2 Studded Leather Armor)
#0022,+2 Bloodwell Vial,TCE,122,rare,"Wondrous Item, Spellcasting Focus",requires attunement by a sorcerer,,,,,,"To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells.In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
#0023,+2 Dragonhide Belt,FTD,23,rare,Wondrous Item,requires attunement by a monk,,,,,,"This finely detailed belt is made of dragonhide. While wearing it, you gain a +2 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn."
#0024,+2 Fate Dealer's Deck,BMT,61,very rare,Wondrous Item,requires attunement by a cleric or paladin,,,,,,"The backs of these cards are inscribed with glyphs representing the Inner Planes, the Outer Planes, or the holy symbols of various deities. While holding this deck, you can use it as a spellcasting focus, and you gain a +2 bonus to spell attack rolls and to your spell save DC.In addition, while you're holding the deck, you can draw a card as an action to expend and roll one of your Hit Dice and add the deck's bonus to the number rolled. One creature you can see within 30 feet of you either takes radiant damage or regains hit points (your choice) equal to the total."
#0025,+2 Moon Sickle,TCE,133,rare,"Weapon (Sickle), Simple Weapon, Melee Weapon",requires attunement by a druid or ranger,1d4 Slashing,light,,2,,"This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +2 bonus to attack and damage rolls made with it, and you gain a +2 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
#0026,+2 Rhythm-Maker's Drum,TCE,134,rare,"Wondrous Item, Instrument (Drum)",requires attunement by a bard,,,,3,,"While holding this drum, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
#0027,+2 Rod of the Pact Keeper,DMG'24,301,rare,Rod,requires attunement by a warlock,,,,2,,"While holding this rod, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
#0028,+2 Shield (*),DMG'24,303,rare,Generic Variant,,,,,,,"* This generic variant has the same name and source as the item +2 Shield.While holding this Shield, you have a +2 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+2 Shield)"
#0029,+2 Wand of the War Mage,DMG'24,322,rare,Wand,requires attunement by a spellcaster,,,,1,,"While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
#0030,+2 Weapon,DMG'24,324,rare,Generic Variant,,,,,,,You have a +2 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+2 Antimatter Rifle)Automatic Rifle (+2 Automatic Rifle)Battleaxe (+2 Battleaxe)Blowgun (+2 Blowgun)Club (+2 Club)Dagger (+2 Dagger)Dart (+2 Dart)Double-Bladed Scimitar (+2 Double-Bladed Scimitar)Flail (+2 Flail)Glaive (+2 Glaive)Greataxe (+2 Greataxe)Greatclub (+2 Greatclub)Greatsword (+2 Greatsword)Halberd (+2 Halberd)Hand Crossbow (+2 Hand Crossbow)Handaxe (+2 Handaxe)Heavy Crossbow (+2 Heavy Crossbow)Hooked Shortspear (+2 Hooked Shortspear)Hoopak (+2 Hoopak)Hunting Rifle (+2 Hunting Rifle)Javelin (+2 Javelin)Lance (+2 Lance)Laser Pistol (+2 Laser Pistol)Laser Rifle (+2 Laser Rifle)Light Crossbow (+2 Light Crossbow)Light Hammer (+2 Light Hammer)Light Repeating Crossbow (+2 Light Repeating Crossbow)Longbow (+2 Longbow)Longsword (+2 Longsword)Mace (+2 Mace)Maul (+2 Maul)Morningstar (+2 Morningstar)Musket (+2 Musket)Pike (+2 Pike)Pistol (+2 Pistol)Quarterstaff (+2 Quarterstaff)Rapier (+2 Rapier)Revolver (+2 Revolver)Scimitar (+2 Scimitar)Semiautomatic Pistol (+2 Semiautomatic Pistol)Shortbow (+2 Shortbow)Shortsword (+2 Shortsword)Shotgun (+2 Shotgun)Sickle (+2 Sickle)Sling (+2 Sling)Spear (+2 Spear)Trident (+2 Trident)War Pick (+2 War Pick)Warhammer (+2 Warhammer)Whip (+2 Whip)Yklwa (+2 Yklwa)
#0031,+2 Weapon (no damage),DMG'14,213,rare,Generic Variant,,,,,,,You have a +2 bonus to attack rolls made with this weapon.
#0032,+2 Wraps of Unarmed Power,DMG'24,325,rare,Wondrous Item,,,,,,,"While wearing these wraps, you have a +2 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
#0033,+3 All-Purpose Tool,TCE,119,very rare,"Wondrous Item, Spellcasting Focus",requires attunement by an artificer,,,,,,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +3 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
#0034,+3 Ammunition,DMG'24,228,very rare,"Ammunition, Generic Variant",,,,,,,"You have a +3 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (20,000 GP). Base items. This item variant can be applied to the following base items:Arrow (+3 Arrow)Bolt (+3 Bolt)Energy Cell (+3 Energy Cell)Firearm Bullet (+3 Firearm Bullet)Needle (+3 Needle)Sling Bullet (+3 Sling Bullet)"
#0035,+3 Amulet of the Devout,TCE,119,very rare,Wondrous Item,requires attunement by a cleric or paladin,,,,1,,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +3 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
#0036,+3 Arcane Grimoire,TCE,120,very rare,"Wondrous Item, Spellcasting Focus",requires attunement by a wizard,,,,3,,"While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
#0037,+3 Armor,DMG'24,230,legendary,Generic Variant,,,,,,,You have a +3 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+3 Breastplate)Chain Mail (+3 Chain Mail)Chain Shirt (+3 Chain Shirt)Half Plate Armor (+3 Half Plate Armor)Hide Armor (+3 Hide Armor)Leather Armor (+3 Leather Armor)Padded Armor (+3 Padded Armor)Plate Armor (+3 Plate Armor)Ring Mail (+3 Ring Mail)Scale Mail (+3 Scale Mail)Splint Armor (+3 Splint Armor)Studded Leather Armor (+3 Studded Leather Armor)
#0038,+3 Bloodwell Vial,TCE,122,very rare,"Wondrous Item, Spellcasting Focus",requires attunement by a sorcerer,,,,,,"To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells.In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
#0039,+3 Dragonhide Belt,FTD,23,very rare,Wondrous Item,requires attunement by a monk,,,,,,"This finely detailed belt is made of dragonhide. While wearing it, you gain a +3 bonus to the saving throw DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn."
#0040,+3 Fate Dealer's Deck,BMT,61,legendary,Wondrous Item,requires attunement by a cleric or paladin,,,,,,"The backs of these cards are inscribed with glyphs representing the Inner Planes, the Outer Planes, or the holy symbols of various deities. While holding this deck, you can use it as a spellcasting focus, and you gain a +3 bonus to spell attack rolls and to your spell save DC.In addition, while you're holding the deck, you can draw a card as an action to expend and roll one of your Hit Dice and add the deck's bonus to the number rolled. One creature you can see within 30 feet of you either takes radiant damage or regains hit points (your choice) equal to the total."
#0041,+3 Moon Sickle,TCE,133,very rare,"Weapon (Sickle), Simple Weapon, Melee Weapon",requires attunement by a druid or ranger,1d4 Slashing,light,,2,,"This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +3 bonus to attack and damage rolls made with it, and you gain a +3 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
#0042,+3 Rhythm-Maker's Drum,TCE,134,very rare,"Wondrous Item, Instrument (Drum)",requires attunement by a bard,,,,3,,"While holding this drum, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
