id,name,source,page,rarity,type,attunement,damage,properties,mastery,weight,value,text
#10000,Alchemist's Supplies,PHB'24,220,none,Artisan's Tools,,,,,8,50,"Ability: IntelligenceUtilize: Identify a substance (DC 15), or start a fire (DC 15)Craft: Acid, Alchemist's Fire, Component Pouch, Oil, Paper, PerfumeArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
#10001,Ale (gallon),PHB'14,158,none,Food and Drink,,,,,,1,
#10002,Ale (mug),PHB'24,231,none,Food and Drink,,,,,,1,
#10003,Bagpipes,PHB'24,221,none,Instrument,,,,,6,30,"Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
#10004,Bandore,FRHoF,132,none,Instrument,,,,,3,65,"If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
#10005,Birdpipes,SCAG,124,none,Instrument,,,,,,,"Pan pipes or satyr pipes, also known as the shalm, these are sacred to Lliira and popular with wood elf and wild elf bards.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
#10006,Bread (loaf) x5,PHB'24,231,none,Food and Drink,,,,,,1,
#10007,Brewer's Supplies,PHB'24,220,none,Artisan's Tools,,,,,9,20,"Ability: IntelligenceUtilize: Detect poisoned drink (DC 15), or identify alcohol (DC 10)Craft: AntitoxinArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
#10008,Calligrapher's Supplies,PHB'24,220,none,Artisan's Tools,,,,,5,10,"Ability: DexterityUtilize: Write text with impressive flourishes that guard against forgery (DC 15)Craft: Ink, Spell ScrollArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
#10009,Carpenter's Tools,PHB'24,220,none,Artisan's Tools,,,,,6,8,"Ability: StrengthUtilize: Seal or pry open a door or container (DC 20)Craft: Club, Greatclub, Quarterstaff, Barrel, Chest, Ladder, Pole, Portable Ram, TorchArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
#10010,Cartographer's Tools,PHB'24,220,none,Artisan's Tools,,,,,6,15,"Ability: WisdomUtilize: Draft a map of a small area (DC 15)Craft: MapArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
#10011,Cheese (wedge) x10,PHB'24,231,none,Food and Drink,,,,,,1,
