id,name,source,page,rarity,type,attunement,damage,properties,mastery,weight,value,text
#40001,Ball Bearings,PHB'24,224,none,Adventuring Gear,,,,,2,1,"As a Utilize action, you can spill Ball Bearings from their pouch. They spread to cover a level, 10-foot-square area within 10 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 10 Dexterity saving throw or have the Prone condition. It takes 10 minutes to recover the Ball Bearings."
#40002,Battleaxe,PHB'24,215,none,"Weapon, Martial Weapon, Melee Weapon",,1d8 Slashing,Versatile (1d10),Mastery: Topple,4,10,"Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
#40003,Block and Tackle,PHB'24,224,none,Adventuring Gear,,,,,5,1,A Block and Tackle allows you to hoist up to four times the weight you can normally lift.
#40004,Breastplate,PHB'24,219,none,Medium Armor,,AC 14 + Dex (max 2),,,20,400,
#40005,Caltrops,PHB'24,224,none,Adventuring Gear,,,,,2,1,"As a Utilize action, you can spread Caltrops from their bag to cover a 5-foot-square area within 5 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 15 Dexterity saving throw or take 1 Piercing damage and have its Speed reduced to 0 until the start of its next turn. It takes 10 minutes to recover the Caltrops."
#40006,Carpenter's Tools,PHB'24,220,none,Artisan's Tools,,,,,6,8,"Ability: StrengthUtilize: Seal or pry open a door or container (DC 20)Craft: Club, Greatclub, Quarterstaff, Barrel, Chest, Ladder, Pole, Portable Ram, TorchArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
#40007,Chain,PHB'24,224,none,Adventuring Gear,,,,,10,5,"As a Utilize action, you can wrap a Chain around an unwilling creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Strength (Athletics) check. If the creature's legs are bound, the creature has the Restrained condition until it escapes. Escaping the Chain requires the creature to make a successful DC 18 Dexterity (Acrobatics) check as an action. Bursting the Chain requires a successful DC 20 Strength (Athletics) check as an action."
#40008,Chain Mail,PHB'24,219,none,Heavy Armor,,AC 16,,,55,75,"The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
#40009,Chain Shirt,PHB'24,219,none,Medium Armor,,AC 13 + Dex (max 2),,,20,50,
#40010,Dagger,PHB'24,215,none,"Weapon, Simple Weapon, Melee Weapon",,1d4 Piercing,"Finesse, Light, Thrown (20/60Â ft.)",Mastery: Nick,1,2,"Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Nick. When you make the extra attack of the Light property, you can make it as part of the Attack action instead of as a Bonus Action. You can make this extra attack only once per turn."
