id,name,source,page,rarity,type,attunement,damage,properties,mastery,weight,value,text
#30001,Acrid Wetsuit,TGS4,0,rare,Light Armor (Leather Armor),,AC 11 + Dex,,,10,,"This armor protects its wearer from various environmental hazards. It covers the wearer completely, and magically seals itself closed against certain environmental effects.While wearing the armor, you gain the following benefits:You can tolerate temperatures as high as 150 degrees Fahrenheit without any additional protection.You can breathe normally underwater. In addition, you ignore the effects of any gaseous poison or airborne diseases, such as the stinking cloud spell.Whenever you are subjected to acid damage as the result of being engulfed by or submerged in something, you take no damage instead (such as from being eaten by a dragon, absorbed by an ooze, or swimming in an acid pit).It takes twice as long as normal to don and doff this armor."
#30002,Angler's Armor,TGS2,36,uncommon,Medium Armor (Scale Mail),requires attunement,AC 14 + Dex (max 2),,,45,,"This magic armor was hand-made by a clan of proud fishers. The armor is made of countless hardened scales lining a reinforced leather jacket, making it a sturdy and weather proof option for sailors. While wearing this armor, you gain a swimming speed of 30 feet, and the normal and long ranges of nets are doubled for you. In addition, when you fish while wearing this armor, you catch twice as many fish as you normally would.The wearer has Disadvantage on Dexterity (Stealth) checks."
#30003,Armor of Icarus,TGS2,39,rare,Medium Armor (Breastplate),requires attunement,AC 14 + Dex (max 2),,,20,,"This sculpted breastplate has a pair of small mechanical wings attached to its back. You gain a +1 bonus to AC while wearing this armor. The armor has 6 charges and regains 1d4 + 2 expended charges daily at dawn. While wearing the armor, you can use an action to expend 1 of its charges to magically unfurl the mechanical wings and fly up to 60 feet in a straight line toward a point of bright light that you can see (such as a torch, light spell, or the sun) without provoking opportunity attacks. The wings remain unfurled until you touch the ground, during which time you fall at a rate of 30 feet per round and gain a flying speed of 30 feet, which you can use to glide horizontally as you descend. While gliding in this way, you cannot fly upwards unless you use the armor to fly toward a point of bright light again. When you land on the ground while falling in this way, the mechanical wings refold themselves to your back, and you take no damage from falling."
#30004,Bastion Chain,TGS3,0,rare,Heavy Armor (Chain Mail),requires attunement,AC 16,,,55,,"The chains of this armor shift naturally with your movements. You gain a +1 bonus to AC while you wear this armor, which doesn't impose disadvantage on Dexterity (Stealth) checks you make. In addition, the chains flow around you reflexively when you're surrounded; the armor's bonus to AC increases to +2 when three or more hostile creatures are within 5 feet of you.The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
#30005,Blowfish Armor,TGS3,0,uncommon,Light Armor (Padded Armor),,AC 11 + Dex,,,8,,"This padded armor is adorned with spiked, leathery shoulder guards. At the center of each patch of armor is a darkened spot, which feels slightly firmer than the rest of the armor. While wearing this armor, you can use an action to magically inflate and transform into a padded, 10-foot-diameter sphere. You remain in this form for 10 minutes or until you end the effect (no action required). Your body and other equipment are engulfed by the sphere for the duration. You can't see what occurs outside the sphere, and any Wisdom (Perception) checks you make to hear sounds outside it are made with disadvantage. You can speak, but your voice is muffled by the padded sphere. Your speed is reduced to 0, although another creature can carefully push the sphere to roll it; doing so requires the creature to spend 2 feet of movement for every 1 foot it moves while rolling the sphere.While inflated in this way, spikes extrude from the sphere. Any creature within 5 feet of the sphere that hits it with a melee attack or grapples it takes 1d6 piercing damage from the spikes. The sphere has 15 hit points, AC 10, resistance to all damage (except for piercing and slashing), and immunity to bludgeoning, poison, and psychic damage. When the sphere is reduced to 0 hit points, it deflates, and you return to your normal form. Any damage dealt to the sphere is not carried over to you. This property of the armor can't be used again until the next dawn.Any creature within 5 feet of you when you transform must succeed on a DC 13 Dexterity saving throw or take 3d6 piercing damage from the sudden spikes. Regardless, any creature within the sphere's new space is pushed into the nearest unoccupied one. If there isn't enough room for the transformation, the sphere attains the maximum possible size in the space available.If you transform into the sphere while underwater, you immediately rise 60 feet toward the surface. While you remain transformed, you rise 60 feet toward the surface again at the start of each of your turns.The wearer has Disadvantage on Dexterity (Stealth) checks."
#30006,Breastplate,PHB'24,219,none,Medium Armor,,AC 14 + Dex (max 2),,,20,400,
#30007,Breastplate of Balance,BMT,34,rare,Medium Armor (Breastplate),requires attunement,AC 14 + Dex (max 2),,,20,,"This burnished copper breastplate looks as if it were made of interlocking gears. Merchant's scales are emblazoned across the chest.The armor has 4 charges. You can use the charges in the following ways while wearing the armor:Equalize. When you or a creature you can see within 60 feet of yourself is about to roll a d20 with advantage or disadvantage, you can expend 1 charge and take a reaction to prevent the roll from being affected by advantage or disadvantage.Expunge Imbalance. As a bonus action, you can expend 2 charges to cast the Lesser Restoration spell from the armor.The armor regains 1d4 expended charges daily at dawn.This armor consists of a fitted metal chest piece worn with supple leather. Although it leaves the legs and arms relatively unprotected, this armor provides good protection for the wearer's vital organs while leaving the wearer relatively unencumbered."
#30008,Breastplate of the Morning Light,TGS1,40,rare,Medium Armor (Breastplate),requires attunement by a cleric or paladin,AC 14 + Dex (max 2),,,20,,"You have a +1 bonus to your AC. You can use an action on your turn to channel the armor's magic to cause it to emit a flash of blinding, radiant light. When you do, all other creatures within 30 feet of you are forced to make a DC 15 Constitution saving throw. On a failure, a creature is blinded until the end of its next turn. Undead creatures have disadvantage on the saving throw and take 2d8 radiant damage on a failure, or half as much on a success. Once this property of the armor has been used, it can't be used again until the following dawn."
#30009,Chain Acolyte Robes,TGS3,0,rare,Heavy Armor (Chain Mail),requires attunement by a spellcaster,AC 16,,,55,,"These acolyte robes are draped in heavy chain mail. You are proficient with this armor and ignore its Strength requirement if you have a spellcasting ability score of at least 13. Spells. While wearing the armor, you can use an action to cast either the hold monster or hold person spell from the armor, using your spell save DC. When you do, the spell holds the target in place with magical chains; for the spell's duration, the target takes 3d6 bludgeoning damage from the chains at the start of each of its turns. Once you cast a spell in this way, that spell can't be cast from the armor again until the next dawn. Wand of Binding. If you are also attuned to a wand of binding, it regains all expended charges daily at dawn. In addition, whenever you use the wand to cast hold monster or hold person, you can choose to have it cast the armor's version of the spell instead. You still use the wand's save DC when casting the spell in this way.The wearer has Disadvantage on Dexterity (Stealth) checks."
#30010,Chain Mail,PHB'24,219,none,Heavy Armor,,AC 16,,,55,75,"The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 13, their speed is reduced by 10 feet."
#30011,Chain Shirt,PHB'24,219,none,Medium Armor,,AC 13 + Dex (max 2),,,20,50,
#30012,Chromatic Obsidian Breastplate,TGS3,0,rare,Medium Armor (Breastplate),requires attunement,AC 14 + Dex (max 2),,,20,,"You gain a +1 bonus to AC while wearing this dark, prismatic armor. While wearing it, you can use your reaction to reduce any radiant damage you take by 1d8 + 5. When you do, you release a brilliant spectrum of colors. Each creature of your choice within 5 feet of you takes the same amount of damage you reduced in this way. The damage's type is random, depending on the color of the light that strikes each creature. Roll a d6 and use the table below to determine the damage type dealt to each creature.d6Light ColorDamage Type1-2Blue or PurpleCold3-4Red or OrangeFire5-6Yellow or GreenLightning"
#30013,Couatl Herald's Scales,TGS1,49,rare,Medium Armor (Scale Mail),requires attunement by a creature of good alignment,AC 14 + Dex (max 2),,,45,,"This enchanted armor is made from couatl scales that were collected by a generous celestial. You gain a +1 bonus to AC while you wear this armor. This armor does not impose disadvantage on Dexterity (Stealth) checks. Tooth and Scale. When you take damage from a creature within 10 feet of you, you can use your reaction to channel the good spirit within the armor and cause a bright, spectral couatl to appear above you. The spectral form strikes at the creature who damaged you, forcing it to make a DC 15 Dexterity saving throw. On a failure, the creature takes 4d10 radiant damage, or half as much damage on a success. Once this property has been used, it can't be used again until the next dawn. Flight of the Couatls. While you're attuned to 3 items with this property, you gain a flying speed of 30 feet. If you already have a flying speed, your flying speed increases by 30 feet instead."
#30014,Displacement Leathers,TGS3,0,uncommon,Light Armor (Leather Armor),requires attunement,AC 11 + Dex,,,10,,"This armor creates a blurry afterimage of you while you move. When a creature hits you with an opportunity attack while wearing this armor, roll a d20 (no action required). On an 11 or higher, the attack misses and hits a nearby illusion of you instead. On a 10 or lower, the attack hits you. Once this property of the armor has been used for the fourth time, it can't be used again until you finish a long rest."
