id,name,source,page,rarity,type,attunement,damage,properties,mastery,weight,value,text
#20001,Aged Goodberry Wine,TGS2,33,rare,Potion,,,,,,,"This bottle of thick red wine is miraculously made from magical goodberries and peonies using a closely kept family recipe. It tastes fruity and floral, with notes of honey and the feeling of a fresh breeze, and is deeply rejuvenating. The bottle comes with 8 servings of the syrupy potion, which each take 1 minute to drink.When you drink this wine, you can regain hit points by spending any number of Hit Dice, as if you'd finished a short rest. You regain 1 extra hit point for each Hit Die you spend in this way. The wine provides enough nourishment to sustain a creature for one day. In addition, for the next hour, whenever you roll a Wisdom or Charisma ability check or saving throw, you add 1d4 to the total of the roll."
#20002,Ankh of Anointment,TGS4,0,rare,Potion,,,,,,,"The oil within this ankh-shaped vial is rich with the smell of clove and myrrh. You can use an action to pour the entirety of the vial over a Medium or smaller creature or object. For the next hour, that target is under the effects of the protection from evil and good spell (no concentration required), and it regains the maximum number of hit points possible from any healing. An undead that hits a target under the effects of this oil with a melee attack immediately takes 1d8 radiant damage.The oil feels warm to the touch, and magically evaporates once the ankh is finished being poured."
#20003,Bath potion,TGS1,33,common,Potion,,,,,,,"This bubbly potion is frothy and smells like lavender. When you drink this potion, any dirt and grime on your body is magically rinsed away. Further, your breath, hair, and nails are suddenly cleaned, looking either polished and pristine or smelling of daisies and honey for the next 24 hours. Bubbles occasionally escape from your mouth while the potion is in effect."
#20004,Bloody Marilith (Common),TGS2,48,common,Potion,,,,,,,"The typical bloody marilith, a common potion, is a specialty alcoholic beverage that fills your body with reactive energy. For 1 minute after drinking this potion, you can use a reaction even if you've already taken one since the end of your last turn. Once you take this reaction, the potion's effect ends. The potion is a deep crimson color with a thick consistency that vibrates softly within its bottle, sending ripples along its surface. It smells and tastes of freshly ground pepper, hot spices, and faintly sour tomato juice. Due to its magical nature, the alcohol within this potion affects a creature twice as much as the alcohol within a nonmagical beverage.Drinking additional bloody mariliths before you finish a long rest leaves your body feeling worn. When the potion's effect ends, you can't move or take actions until after your next turn, as a wave of lethargy sweeps over you."
#20005,Bloody Marilith (Very Rare),TGS2,48,very rare,Potion,,,,,,,"The following bloody marilith is a very rare variant with more powerful properties. It uses blood from a fiendish marilith, instead of a magical substitute, and pleasantly burns your tongue when drinking it. It also tastes better.When you drink this potion, you can take one reaction on every turn in a combat for 1 minute. Unlike its common variant, this potion's effect does not end when you use an additional reaction.Drinking additional bloody mariliths before you finish a long rest leaves your body feeling worn. When the potion's effect ends, you can't move or take actions until after your next turn, as a wave of lethargy sweeps over you."
#20006,Bottled Abyss,TGS1,38,very rare,Potion,,,,,,,"This small vial has a single dose of a fuming, pitch-black poison inside of it. When a creature eats or drinks the poison, it takes 4d6 psychic damage and must make a DC 18 Constitution saving throw. On a failed save, the creature becomes blind and unable to sleep. When an affected creature attempts to rest, their dreams are plagued with terrible nightmares, preventing them from benefiting from a long rest. The creature can reattempt the saving throw once every 24 hours.The poison lasts until the affected creature succeeds on a saving throw or is cured by the greater restoration, heal, or wish spell."
#20007,Bottled Breath,PotA,222,uncommon,Potion,,,,,,,"This bottle contains a breath of elemental air. When you inhale it, you either exhale it or hold it.If you exhale the breath, you gain the effect of the gust of wind spell. If you hold the breath, you don't need to breathe for 1 hour, though you can end this benefit early (for example, to speak). Ending it early doesn't give you the benefit of exhaling the breath."
#20008,Bottled Talent,TGS4,0,uncommon,Potion,,,,,,,"When you drink this potion, you gain proficiency with one skill, saving throw, or tool of your choice for 24 hours. The glowing potion has a glimmering swirl at its center."
#20009,Celestial Ambrosia,TGS4,0,legendary,Potion,,,,,,,"Drinking this potion fills you with a heavenly feeling of moral clarity, which lasts for the next 24 hours or until you do something that can be characterized as evil (at the GM's discretion). For the duration, you gain the following benefits:You emit a warm, soft glow, which sheds dim light in a 10-foot radius from you. The light is sunlight.You can use an action to cast the detect evil and good spell for the duration.Your weapon attacks deal an extra 1d10 radiant damage to any target you hit with them. If the target is undead, this extra damage is doubled. You also gain this benefit whenever you cast a spell that deals radiant damage.You gain a +3 bonus to any saving throw you make.You have advantage on any Charisma (Persuasion) check you make.You have resistance to radiant damage.You gain a flying speed of 40 feet. When you fly, your warm glow extends from your back to form a pair of angelic wings.You can't be charmed or frightened. If you're already charmed or frightened, the effect ends on you when you drink the potion."
#20010,Celestial Sunrise (Common),TGS2,57,common,Potion,,,,,,,"The typical celestial sunrise, a common potion, is a specialty alcoholic beverage that causes light to pour from your mouth for 1 hour after you drink it. The light shines in a cone from your mouth, casting bright light for 20 feet and dim light for an additional 20 feet. The potion glows softly on its own, even if no light is shining through it. The beverage is rejuvenating and powerfully flavored with pineapple, orange, and honey, with just a hint of pomegranate as an aftertaste. Due to its magical nature, the alcohol within this potion affects a creature twice as much as the alcohol within a nonmagical beverage."
#20011,Celestial Sunrise (Uncommon),TGS2,57,uncommon,Potion,,,,,,,"The following celestial sunrise is an uncommon variant with additional properties. It also tastes better.When you drink this potion, you can see normally in darkness, both magical and nonmagical, for the next 8 hours. In addition, the light cast from your mouth due to the potion's common effects increases, casting bright light out to 40 feet and dim light for an additional 40 feet instead."
#20012,Chi-Balancing Tea,TGS2,58,rare,Potion,,,,,,,"This potion is specially brewed by the monks of Durheim using a unique leaf found only in their gardens. The tea remains magically warm while inside its traditional porcelain bottle. The potion's flavor is deep and smoky, and leaves a sour aftertaste like the air after a storm.When you drink this potion, it cures any short-term madness afflicting you, and if you are charmed or frightened, it ends those conditions. In addition, if you have 2 or more levels in the monk class, you regain 1d4 + 1 expended ki points."
